participant,rater_1,rater_2,rater_3,rater_4,rater_5,performance_1,performance_2,performance_3,performance_4,performance_5,hire_1,hire_2,hire_3,hire_4,hire_5,expansiveness_1,expansiveness_2,expansiveness_3,expansiveness_4,expansiveness_5,gender_1,gender_2,gender_3,gender_4,gender_5,race_1,race_2,race_3,race_4,race_5,Order,Room,qualtrics,cond,Date,Time,RA,Video,Pose,Gamble,Length,Comments,Exclude.Video,Exc.Reason,StartDate,EndDate,powerful,in_charge,dominant,in_control,leader,accomplished,successful,achieving,fullfilled,self.worth,confident,productive,aware_pp,ted_pp,heard_pp,gender,race,exclude_video1,comments_video1,exclude_video2,comments_video2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1080,1223,1129,1171,NA,3,2,2,1,NA,2,2,3,3,NA,4,3,2,2,NA,1,2,1,1,NA,2,1,1,5,NA,217,1,y,UC,4/22/16,11:30,RM,Y,NA,N,25,"Ended early at 2 minuted, made participant aware she had 2 minutes left and she transitioned back into her speech smoothly ",N,,4/22/16,11:53,4/22/16,11:54,3,2,2,3,3,4,3,4,4,3,4,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1116,1140,1087,1370,NA,5,6,3,4,NA,1,1,2,1,NA,4,6,4,3,NA,2,2,2,1,NA,1,1,1,5,NA,31,1,y,AC,3/29/16,10:30,RT,Y,N,N,35,"Participant asked: ""What if the speech is not five minutes?"" I responded: ""We will prompt you to keep going and give you suggestions on what to say if necessary.""",N,,3/29/16,11:03,3/29/16,11:04,1,1,1,2,1,1,1,1,1,3,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1118,1052,1352,NA,NA,2,1,4,NA,NA,3,3,2,NA,NA,2,7,4,NA,NA,1,2,2,NA,NA,1,2,1,NA,NA,122,1,y,AE,4/11/16,9:00,SA,Y,Y,Y,35,Got,locked,out-,ruined,video,1,Participant,struggled,with,speech.,Had,to,use,all,prompts.,N,,4/11/16,9:34,4/11/16,9:35,3,3,3,4,4,4,4,4,4,4,3,4,N,N,Y,2,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1049,1378,1100,1334,NA,4,4,6,6,NA,1,2,1,1,NA,4,5,2,6,NA,1,2,2,1,NA,3,1,2,1,NA,218,1,y,AC,4/22/16,12:15,RM,Y,N,Y,30,NA,N,,4/22/16,12:43,4/22/16,12:44,3,4,4,4,4,4,3,3,2,4,2,5,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1398,1092,1163,1267,NA,6,5,4,2,NA,1,2,2,2,NA,4,4,4,3,NA,1,1,2,2,NA,1,1,1,4,NA,152,1,y,AE,4/13/16,5:00,SS,Y,N,N,26,Asked,if,had,to,hold,position,C,the,whole,time,N,,4/13/16,17:23,4/13/16,17:24,2,2,2,3,2,4,3,3,2,2,2,4,Y,N,Y,2,1,N,expansive,B--standing,back,from,table,N,fidgeted,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1013,1128,1326,1376,NA,4,5,5,2,NA,2,1,1,3,NA,3,1,4,2,NA,2,2,2,1,NA,1,2,2,1,NA,34,1,y,UE,3/29/16,2:00,IF,Y,NA,Y,25,"Participant was interrupted during the speech because someone walked into the room.  Participant also asked how much was left on speech, participant was prompted to continue. ",N,,3/29/16,14:21,3/29/16,14:22,4,4,5,5,5,4,4,5,4,5,5,5,N,N,N,2,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1279,1124,1250,1055,NA,2,1,2,1,NA,2,3,2,3,NA,3,2,2,4,NA,2,1,1,1,NA,3,1,1,1,NA,219,1,y,UE,4/22/16,2:00,IF,Y,NA,Y,24,Participant,stopped,to,think,at,the,beginning,of,speech,~20sec,N,,4/22/16,14:12,4/22/16,14:14,2,2,2,2,2,3,2,2,2,3,2,2,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1192,1247,1329,1388,NA,5,7,2,2,NA,2,1,3,2,NA,2,7,2,2,NA,1,2,2,2,NA,2,1,2,3,NA,93,1,y,UC,4/6/16,7:15,MP,Y,NA,N,25,Participant,asked,if,you,have,to,keep,talking,for,5,minutes.,Participant,didn't,have,a,specific,dream,job.,N,,4/6/16,19:38,4/6/16,19:39,3,3,3,3,3,4,4,4,4,4,4,4,N,N,N,2,2,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1220,1339,1373,1260,NA,3,2,1,4,NA,3,2,3,1,NA,4,3,3,4,NA,2,2,1,1,NA,1,1,1,1,NA,79,1,y,AE,4/5/16,1:15,IF,Y,N,Y,29,Had,to,explain,the,impression,task,and,the,speech,task,in,more,depth,for,the,participant.,Participant,had,to,be,promted,multiple,times,to,continue,during,speech.,,,N,,4/5/16,13:41,4/5/16,13:41,3,3,3,3,3,3,3,3,3,4,3,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1292,1123,1168,1058,NA,5,6,5,6,NA,1,1,1,1,NA,3,1,5,3,NA,1,2,1,2,NA,1,2,1,4,NA,153,1,y,UE,4/13/16,5:45,SS,Y,NA,Y,22,NA,N,,4/13/16,17:55,4/13/16,17:56,2,2,2,2,2,3,3,3,3,4,2,2,Y,N,Y,2,1,N,NA,N,fidgeted,a,lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1180,1223,1021,1083,NA,5,5,7,5,NA,1,1,1,1,NA,5,4,5,5,NA,2,2,2,2,NA,1,1,1,2,NA,6,1,y,AE,3/23/16,9:45,SA,Y,N,Y,34,David,was,here?,N,,3/23/16,10:16,3/23/16,10:17,3,2,3,3,3,3,2,2,2,3,4,4,N,N,N,2,4,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1362,1027,1216,1268,NA,4,4,2,3,NA,2,2,3,2,NA,2,4,5,4,NA,2,2,2,2,NA,1,1,2,2,NA,213,1,y,UE,4/21/16,2:15,AF,Y,NA,Y,24,Shook,hand,when,brought,into,study:,asked,for,clarification,on,impression,task:,needed,prompting,and,asked,about,job,specifics,N,,4/21/16,13:53,4/21/16,14:37,1,2,2,1,2,4,3,3,4,4,3,2,Y,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1274,1314,1224,1359,NA,5,3,3,2,NA,2,2,2,3,NA,4,5,4,3,NA,1,1,2,1,NA,1,1,1,1,NA,95,1,y,AE,4/7/16,9:45,RT,Y,N,N,30,"asked if it is okay if the speech is under five minutes. I explained that he should try to reach the five minute mark, following the guidelines provided by the script, but that we also have prompting questions if necessary. During speech asked for a prompting question.",N,,4/7/16,10:16,4/7/16,10:17,5,4,5,5,5,4,4,4,4,4,4,4,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1110,1123,1021,1088,NA,5,4,6,6,NA,1,1,1,1,NA,6,3,4,4,NA,2,2,2,2,NA,1,2,1,1,NA,111,1,y,UC,4/8/16,2:45,IF,Y,NA,Y,23,Accidentally,said,sorry,before,saying,please,continue,when,promting,the,participant,during,speech.,N,,4/8/16,15:04,4/8/16,15:05,1,2,1,3,3,4,4,4,3,3,2,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1274,1005,1094,1268,NA,4,4,4,5,NA,2,2,2,1,NA,3,3,2,6,NA,1,2,2,2,NA,1,3,1,2,NA,167,1,y,AC,4/15/16,2:45,IF,Y,N,Y,31,Participant,had,to,be,prompted,several,times,during,speech.,N,,4/15/16,15:11,4/15/16,15:12,3,2,2,4,3,3,2,2,2,4,4,4,Y,N,Y,2,1,N,standing,away,from,desk,in,expansive,pose,A,N,left,expansice,pose,C,several,times,but,never,more,than,30,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1220,1169,1392,1166,NA,5,5,5,7,NA,1,1,2,1,NA,6,4,4,6,NA,2,2,1,2,NA,1,1,2,1,NA,81,1,y,UC,4/5/16,2:45,AF,Y,NA,Y,24,"Laughed about holding second position: said they were position dyslexic:"" same for pose C",N,,4/5/16,14:33,4/5/16,15:08,2,2,2,2,2,2,2,3,2,3,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1139,1101,1087,1205,NA,2,4,1,3,NA,2,1,3,2,NA,6,4,3,3,NA,2,2,2,1,NA,2,1,1,1,NA,139,1,y,UC,4/12/16,5:00,YS,Y,NA,Y,24,asked,if,she,is,doing,the,right,thing,during,the,second,task,(while,filming),asked,whether,she,should,be,holding,the,position,when,prepare,for,the,speech,,N,,4/12/16,17:21,4/12/16,17:22,1,2,1,1,1,1,1,1,2,4,2,4,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,n,AE,3/26/16,2:30,IF,Y,N,N,23,"Victor was here. Half of the instructions for the speech were given before the 1 min preparation. Then, the instructions were corrected: the 1 min instructions were given, and the 5min instructions were repeated  after the 1 min. Participant said she was not comfortable with the speech task. We interrupted the task and moved on to the survey.",Y,Participant,quit,during,speech,3/26/16,14:51,3/26/16,14:52,1,1,1,1,1,1,1,1,1,2,1,1,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1319,1001,1276,NA,NA,1,7,4,NA,NA,3,1,2,NA,NA,1,7,3,NA,NA,2,1,2,NA,NA,1,1,1,NA,NA,40,1,y,UE,3/29/16,6:30,MP,Y,NA,Y,28,"Asked for further clarification on the purpose of the speech task, asked how much time was left during speech",N,,3/29/16,18:54,3/29/16,18:56,1,2,2,3,2,2,2,2,2,3,3,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1350,1011,1285,1272,1203,,2,5,6,6,,2,2,1,1,,7,6,6,5,,1,2,2,1,,1,1,2,1,25,1,y,AE,3/28/16,10:30,JD,Y,N,N,34,"The log sheet said to use participant number 302 for this study, but I read the number below the line when typing it into psychopy and the survey. I used particpant number 78 with the AE script and labeled the videos as 78 as well. I crossed out the line below so we would not have duplicate #78 participants for the task, surveys, and videos",N,,3/28/16,10:47,3/28/16,10:48,5,4,4,4,5,5,5,5,5,5,5,4,Y,Y,Y,2,5,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1366,1005,1168,1268,NA,3,4,2,4,NA,3,2,2,2,NA,5,4,3,3,NA,2,2,1,2,NA,5,3,1,2,NA,201,1,y,AC,4/19/16,8:00,MP,Y,N,N,29,Participant,told,me,his,dream,job,when,I,asked,if,he,had,any,questions,about,the,speech,task.,Went,through,all,4,follow-up,questions.,N,,4/19/16,20:27,4/19/16,20:28,3,3,3,3,4,2,2,2,2,4,4,4,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1233,1251,1282,1088,NA,2,1,2,3,NA,3,3,3,2,NA,5,2,2,5,NA,2,1,1,2,NA,1,4,1,1,NA,94,1,y,UC,4/7/16,9:00,RT,Y,NA,Y,27,"asked if she could restart her speech after ""messing up"", to which I prompted her to continue. Her speech was very vague and she gave it as if she had already graduated MSU. She did not once state what her dreram job would be.",N,,4/7/16,9:25,4/7/16,9:27,2,1,1,2,2,1,1,3,3,4,4,4,N,N,N,2,1,N,NA,N,holding,arms,not,body,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1112,1193,1198,1132,NA,6,4,6,4,NA,2,1,1,2,NA,6,5,6,4,NA,1,1,2,2,NA,3,1,1,1,NA,210,1,y,AC,4/20/16,5:45,SS,Y,N,Y,25,NA,N,,4/20/16,18:07,4/20/16,18:08,3,3,2,3,4,3,3,4,4,4,4,3,N,N,N,1,1,N,NA,N,One,hand,not,holding,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1047,1000,1261,1290,NA,3,3,3,2,NA,2,2,1,2,NA,5,4,2,5,NA,2,2,2,1,NA,1,4,5,1,NA,64,1,y,AE,4/3/16,3:45,RM,Y,N,N,30,Struggled,with,the,speech,several,times,,N,,4/3/16,16:14,4/3/16,16:15,4,3,3,4,4,4,3,4,3,5,4,4,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1384,1288,1176,1388,NA,5,7,6,4,NA,2,1,1,2,NA,6,7,5,5,NA,2,2,2,2,NA,1,1,1,3,NA,68,1,y,UC,4/4/16,9:45,SA,Y,NA,Y,30,didn�t,turn,phone,off-,went,off,during,speech,,N,,4/4/16,10:09,4/4/16,10:10,4,5,3,4,5,5,5,5,4,5,5,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1381,1028,1084,1232,NA,5,7,5,7,NA,1,1,1,1,NA,5,4,5,5,NA,2,2,1,2,NA,1,2,1,5,NA,61,1,y,AC,4/1/16,3:30,MP,Y,N,Y,32,Participant,asked,if,they,had,to,keep,talking,the,whole,5,minutes,during,the,speech,task,N,,4/1/16,16:00,4/1/16,16:01,2,3,2,3,4,4,3,4,3,4,4,4,Y,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1346,1378,1326,1024,NA,3,6,3,5,NA,2,1,2,1,NA,5,5,5,4,NA,1,2,2,2,NA,1,1,2,5,NA,157,1,y,AE,4/14/16,10:30,RT,Y,N,Y,31,"Participant asked if the speech had to be 5 min. Asked again if the speech had to go for the whole five minutes, to which I repsonded with the script.",N,,4/14/16,10:59,4/14/16,11:00,3,3,2,2,5,5,5,5,4,5,5,5,N,Y,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1105,1140,1206,1374,NA,4,5,4,5,NA,2,2,2,2,NA,3,5,4,2,NA,2,2,1,2,NA,2,1,1,3,NA,208,1,y,UC,4/20/16,4:15,SS,Y,NA,N,25,"was leaning during 1 minute preparation, prompted not lean. ",N,,4/20/16,16:37,4/20/16,16:38,2,2,2,2,2,3,3,3,2,5,5,1,N,N,N,2,2,N,NA,N,Leaning,on,wall,for,more,than,30s.,Arms,crossed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,n,UE,3/29/16,5:45,YS,Y,NA,Y,17,"asked whether she has to stay in the position/pose for the whole time while she was preparing; asked if she has to be honest about her speech. Stopped at the first 36 seconds of the 5 mins speech, said she was not comfortable being filmed and continue talking for 5 mins. ",Y,Participant,quit,during,speech,3/29/16,18:01,3/29/16,18:02,2,2,3,2,2,1,2,2,2,3,3,2,N,N,N,2,4,N,"stood far from desk, hands on the edge of the table (expansive B)",N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1372,1253,1146,1055,NA,2,6,2,5,NA,3,1,3,2,NA,2,2,3,4,NA,2,2,2,1,NA,2,1,1,1,NA,117,1,y,UC,4/10/16,3:00,RM,Y,NA,N,22,"Asked how much time they had left, struggled slightly with speech ",N,,4/10/16,15:21,4/10/16,15:22,3,3,3,3,3,4,4,4,4,4,4,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1183,1314,1146,1126,NA,5,4,4,4,NA,2,2,2,3,NA,3,2,1,4,NA,2,1,2,2,NA,1,1,1,1,NA,168,1,y,AC,4/15/16,3:30,MP,Y,N,Y,30,"Participant moved around a lot during speech, asked if he stil had time left during speech",N,,4/15/16,15:57,4/15/16,15:58,4,3,3,3,4,4,3,3,3,4,4,2,N,N,N,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1164,1067,1255,NA,NA,3,2,3,NA,NA,2,2,2,NA,NA,5,3,2,NA,NA,1,1,2,NA,NA,1,5,1,NA,NA,75,1,y,AC,4/5/16,9:00,RT,Y,N,Y,31,struggled,during,interview,N,,4/5/16,9:31,4/5/16,9:32,3,3,2,2,2,2,3,3,2,4,4,3,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1398,1193,1285,1104,NA,5,3,5,5,NA,2,2,2,1,NA,5,4,6,5,NA,1,1,2,2,NA,1,1,1,1,NA,179,1,y,UC,4/17/16,5:15,JD,Y,NA,Y,25,Had,to,tell,participant,not,to,lean,on,the,wall,while,preparing,the,speech,and,he,adjusted,his,position,,also,hands,were,not,in,the,correct,position,when,I,came,back,into,the,room,after,the,speech,preparation,period,N,,4/17/16,17:37,4/17/16,17:39,3,2,4,4,4,3,4,4,4,5,5,5,Y,Y,N,1,1,N,NA,N,leaning,against,the,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1080,1229,1261,1145,NA,2,3,4,1,NA,2,2,3,3,NA,3,2,1,5,NA,1,2,2,2,NA,2,5,5,1,NA,180,1,y,UC,4/17/16,6:00,JD,Y,NA,N,24,Phone,was,going,off,during,the,intervew,,had,to,prompt,with,extra,questions,to,fill,five,minutes,beyond,the,four,questions,we,have,written,up,N,,4/17/16,18:21,4/17/16,18:22,4,2,3,2,4,3,2,2,2,2,4,4,N,N,N,1,5,N,right,arm,is,high,in,constrictive,pose,B,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1302,1332,1307,NA,NA,4,5,5,NA,NA,2,1,1,NA,NA,4,4,4,NA,NA,2,2,2,NA,NA,1,3,1,NA,NA,45,1,y,AE,3/30/16,4:15,SS,Y,N,Y,28,"Asked whether had to speak for 5 minutes, and also if she has to stay in pose for preparing speech, said was hardest experiment she has ever done",N,,3/30/16,16:40,3/30/16,16:41,2,2,2,1,2,3,3,2,1,3,2,3,Y,Y,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1164,1221,1306,1171,NA,5,5,6,2,NA,1,1,1,2,NA,6,5,6,3,NA,1,1,2,1,NA,1,1,5,5,NA,86,1,y,AE,4/6/16,12:00,SS,Y,N,N,27,"personally knew the participant, but stuck to the script, was a little more awkward than usual",N,,4/6/16,12:22,4/6/16,12:23,3,3,2,3,3,3,3,3,3,3,3,3,Y,Y,Y,2,4,N,"leaned forward slightly, hands near edge of the table (expansive B)",N,"fidgeted a lot, but less than 30s at a time (expansive C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1048,1171,1268,1009,NA,5,2,4,2,NA,2,3,2,3,NA,3,1,2,1,NA,2,1,2,1,NA,1,5,2,5,NA,101,1,y,AC,4/7/16,3:45,IF,Y,N,N,30,NA,N,,4/7/16,16:10,4/7/16,16:11,3,3,3,3,3,3,3,3,3,3,3,3,Y,N,Y,2,2,N,NA,N,one,arm,holding,elbow,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
